data_generacji,mieszkania_wojewodztwo,mieszkania_region,mieszkania_rok,mieszkania_ilosc
2025-01-19 13:26:00.464655+00:00,ŚWIĘTOKRZYSKIE,wieś,2012,212601
2025-01-19 13:26:00.464655+00:00,LUBELSKIE,wieś,2012,368249
2025-01-19 13:26:00.464655+00:00,PODKARPACKIE,wieś,2012,329592
2025-01-19 13:26:00.464655+00:00,PODLASKIE,wieś,2012,157883
2025-01-19 13:26:00.464655+00:00,MAZOWIECKIE,wieś,2012,601788
2025-01-19 13:26:02.760945+00:00,MAŁOPOLSKIE,wieś,2013,463776
2025-01-19 13:26:02.760945+00:00,ŚLĄSKIE,wieś,2013,314236
2025-01-19 13:26:02.760945+00:00,LUBUSKIE,wieś,2013,113240
2025-01-19 13:26:02.760945+00:00,WIELKOPOLSKIE,wieś,2013,426459
2025-01-19 13:26:02.760945+00:00,ZACHODNIOPOMORSKIE,wieś,2013,166999
2025-01-19 13:26:02.760945+00:00,DOLNOŚLĄSKIE,wieś,2013,278490
2025-01-19 13:26:02.760945+00:00,OPOLSKIE,wieś,2013,146328
2025-01-19 13:26:02.760945+00:00,KUJAWSKO-POMORSKIE,wieś,2013,233701
2025-01-19 13:26:02.760945+00:00,POMORSKIE,wieś,2013,215145
2025-01-19 13:26:02.760945+00:00,WARMIŃSKO-MAZURSKIE,wieś,2013,175102
2025-01-19 13:26:02.760945+00:00,ŁÓDZKIE,wieś,2013,298916
2025-01-19 13:26:02.760945+00:00,ŚWIĘTOKRZYSKIE,wieś,2013,213883
2025-01-19 13:26:02.760945+00:00,LUBELSKIE,wieś,2013,370666
2025-01-19 13:26:02.760945+00:00,PODKARPACKIE,wieś,2013,332485
2025-01-19 13:26:02.760945+00:00,PODLASKIE,wieś,2013,159006
2025-01-19 13:26:02.760945+00:00,MAZOWIECKIE,wieś,2013,608746
2025-01-19 13:26:05.116947+00:00,MAŁOPOLSKIE,wieś,2014,469281
2025-01-19 13:26:05.116947+00:00,ŚLĄSKIE,wieś,2014,317026
2025-01-19 13:26:05.116947+00:00,LUBUSKIE,wieś,2014,114156
2025-01-19 13:26:05.116947+00:00,WIELKOPOLSKIE,wieś,2014,431772
2025-01-19 13:26:05.116947+00:00,ZACHODNIOPOMORSKIE,wieś,2014,167853
2025-01-19 13:26:05.116947+00:00,DOLNOŚLĄSKIE,wieś,2014,282584
2025-01-19 13:26:05.116947+00:00,OPOLSKIE,wieś,2014,147147
2025-01-19 13:26:05.116947+00:00,KUJAWSKO-POMORSKIE,wieś,2014,236255
2025-01-19 13:26:05.116947+00:00,POMORSKIE,wieś,2014,218321
2025-01-19 13:26:05.116947+00:00,WARMIŃSKO-MAZURSKIE,wieś,2014,176796
2025-01-19 13:26:05.116947+00:00,ŁÓDZKIE,wieś,2014,301207
2025-01-19 13:26:05.116947+00:00,ŚWIĘTOKRZYSKIE,wieś,2014,215226
2025-01-19 13:26:05.116947+00:00,LUBELSKIE,wieś,2014,372633
2025-01-19 13:26:05.116947+00:00,PODKARPACKIE,wieś,2014,334520
2025-01-19 13:26:05.116947+00:00,PODLASKIE,wieś,2014,160222
2025-01-19 13:26:05.116947+00:00,MAZOWIECKIE,wieś,2014,613766
2025-01-19 13:26:07.462209+00:00,MAŁOPOLSKIE,wieś,2015,475005
2025-01-19 13:26:07.462209+00:00,ŚLĄSKIE,wieś,2015,320017
2025-01-19 13:26:07.462209+00:00,LUBUSKIE,wieś,2015,108557
2025-01-19 13:26:07.462209+00:00,WIELKOPOLSKIE,wieś,2015,438694
2025-01-19 13:26:07.462209+00:00,ZACHODNIOPOMORSKIE,wieś,2015,169565
2025-01-19 13:26:07.462209+00:00,DOLNOŚLĄSKIE,wieś,2015,286519
2025-01-19 13:26:07.462209+00:00,OPOLSKIE,wieś,2015,147952
2025-01-19 13:26:07.462209+00:00,KUJAWSKO-POMORSKIE,wieś,2015,238984
2025-01-19 13:26:07.462209+00:00,POMORSKIE,wieś,2015,224810
2025-01-19 13:26:07.462209+00:00,WARMIŃSKO-MAZURSKIE,wieś,2015,178552
2025-01-19 13:26:07.462209+00:00,ŁÓDZKIE,wieś,2015,303687
2025-01-19 13:26:07.462209+00:00,ŚWIĘTOKRZYSKIE,wieś,2015,216416
2025-01-19 13:26:07.462209+00:00,LUBELSKIE,wieś,2015,375055
2025-01-19 13:26:07.462209+00:00,PODKARPACKIE,wieś,2015,337675
2025-01-19 13:26:07.462209+00:00,PODLASKIE,wieś,2015,161524
2025-01-19 13:26:07.462209+00:00,MAZOWIECKIE,wieś,2015,620572
2025-01-19 13:26:09.636559+00:00,MAŁOPOLSKIE,wieś,2016,480347
2025-01-19 13:26:09.636559+00:00,ŚLĄSKIE,wieś,2016,323091
2025-01-19 13:26:09.636559+00:00,LUBUSKIE,wieś,2016,109533
2025-01-19 13:26:09.636559+00:00,WIELKOPOLSKIE,wieś,2016,445950
2025-01-19 13:26:09.636559+00:00,ZACHODNIOPOMORSKIE,wieś,2016,171184
2025-01-19 13:26:09.636559+00:00,DOLNOŚLĄSKIE,wieś,2016,291564
2025-01-19 13:26:09.636559+00:00,OPOLSKIE,wieś,2016,148712
2025-01-19 13:26:09.636559+00:00,KUJAWSKO-POMORSKIE,wieś,2016,241930
2025-01-19 13:26:09.636559+00:00,POMORSKIE,wieś,2016,228775
2025-01-19 13:26:09.636559+00:00,WARMIŃSKO-MAZURSKIE,wieś,2016,180357
2025-01-19 13:26:09.636559+00:00,ŁÓDZKIE,wieś,2016,306110
2025-01-19 13:26:09.636559+00:00,ŚWIĘTOKRZYSKIE,wieś,2016,217871
2025-01-19 13:26:09.636559+00:00,LUBELSKIE,wieś,2016,375823
2025-01-19 13:26:09.636559+00:00,PODKARPACKIE,wieś,2016,340849
2025-01-19 13:26:09.636559+00:00,PODLASKIE,wieś,2016,162836
2025-01-19 13:26:09.636559+00:00,MAZOWIECKIE,wieś,2016,627585
2025-01-19 13:26:11.975840+00:00,MAŁOPOLSKIE,wieś,2017,486400
2025-01-19 13:26:11.975840+00:00,ŚLĄSKIE,wieś,2017,326430
2025-01-19 13:26:11.975840+00:00,LUBUSKIE,wieś,2017,110497
2025-01-19 13:26:11.975840+00:00,WIELKOPOLSKIE,wieś,2017,453189
2025-01-19 13:26:11.975840+00:00,ZACHODNIOPOMORSKIE,wieś,2017,171486
2025-01-19 13:26:11.975840+00:00,DOLNOŚLĄSKIE,wieś,2017,295662
2025-01-19 13:26:11.975840+00:00,OPOLSKIE,wieś,2017,146207
2025-01-19 13:26:11.975840+00:00,KUJAWSKO-POMORSKIE,wieś,2017,244760
2025-01-19 13:26:11.975840+00:00,POMORSKIE,wieś,2017,234538
2025-01-19 13:26:11.975840+00:00,WARMIŃSKO-MAZURSKIE,wieś,2017,182095
2025-01-19 13:26:11.975840+00:00,ŁÓDZKIE,wieś,2017,308768
2025-01-19 13:26:11.975840+00:00,ŚWIĘTOKRZYSKIE,wieś,2017,219043
2025-01-19 13:26:11.975840+00:00,LUBELSKIE,wieś,2017,377485
2025-01-19 13:26:11.975840+00:00,PODKARPACKIE,wieś,2017,344052
2025-01-19 13:26:11.975840+00:00,PODLASKIE,wieś,2017,164274
2025-01-19 13:26:11.975840+00:00,MAZOWIECKIE,wieś,2017,635191
2025-01-19 13:26:14.332575+00:00,MAŁOPOLSKIE,wieś,2018,492126
