data_generacji,data_waluty,zloto_cena
2025-01-04 22:43:40.011883+00:00,2015-11-19,136.64
2025-01-04 22:47:15.096776+00:00,2018-02-20,144.64
2025-01-04 22:53:34.348702+00:00,2023-11-17,257.28
2025-01-04 22:53:34.988958+00:00,2023-11-22,257.28
2025-01-04 22:48:43.144733+00:00,2019-11-05,184.89
2025-01-04 22:53:50.434070+00:00,2024-03-14,273.78
2025-01-04 22:45:03.960313+00:00,2017-07-13,145.14
2025-01-04 22:53:51.162287+00:00,2024-03-19,274.28
2025-01-04 22:42:42.270457+00:00,2014-09-30,129.39
2025-01-04 22:45:33.139582+00:00,2018-01-26,145.39
2025-01-04 22:43:53.386330+00:00,2016-02-18,153.39
2025-01-04 22:43:54.071072+00:00,2016-02-23,153.39
2025-01-04 22:44:16.458589+00:00,2016-08-02,169.39
2025-01-04 22:41:23.708318+00:00,2013-11-08,129.64
2025-01-04 22:43:29.554802+00:00,2015-09-03,137.64
2025-01-04 22:45:04.724838+00:00,2017-07-18,145.89
2025-01-04 22:52:33.012248+00:00,2022-09-09,259.78
2025-01-04 22:53:13.308553+00:00,2023-06-15,260.28
2025-01-04 22:53:39.986909+00:00,2023-12-29,260.53
2025-01-04 22:52:23.072109+00:00,2022-06-28,260.53
2025-01-04 22:40:59.463687+00:00,2013-05-23,146.39
2025-01-04 22:45:06.977683+00:00,2017-08-03,146.39
2025-01-04 22:48:26.199649+00:00,2019-07-09,170.39
2025-01-04 22:53:43.476014+00:00,2024-01-24,261.03
2025-01-04 22:41:27.622802+00:00,2013-12-06,121.32
2025-01-04 22:42:51.028620+00:00,2014-12-04,130.64
2025-01-04 22:43:28.264304+00:00,2015-08-25,138.64
2025-01-04 22:53:42.648603+00:00,2024-01-18,261.53
2025-01-04 22:43:57.411626+00:00,2016-03-18,154.89
2025-01-04 22:44:25.792990+00:00,2016-10-07,154.89
2025-01-04 22:44:19.843130+00:00,2016-08-25,162.89
2025-01-04 22:48:30.306757+00:00,2019-08-08,186.89
2025-01-04 22:48:14.449444+00:00,2019-04-17,155.14
2025-01-04 22:49:00.941900+00:00,2020-03-13,195.14
2025-01-04 22:53:36.761099+00:00,2023-12-05,262.53
2025-01-04 22:42:44.292635+00:00,2014-10-15,131.39
2025-01-04 22:41:12.185326+00:00,2013-08-19,139.39
2025-01-04 22:49:49.586473+00:00,2021-02-26,211.39
2025-01-04 22:49:57.007432+00:00,2021-04-22,219.39
2025-01-04 22:53:45.632417+00:00,2024-02-09,262.78
2025-01-04 22:53:51.986059+00:00,2024-03-25,278.78
2025-01-04 22:42:15.678799+00:00,2014-04-03,125.82
2025-01-04 22:43:18.971355+00:00,2015-06-18,139.64
2025-01-04 22:48:02.448352+00:00,2019-01-21,155.64
2025-01-04 22:49:01.512066+00:00,2020-03-17,187.64
2025-01-04 22:53:10.346059+00:00,2023-05-25,263.28
2025-01-04 22:41:11.021120+00:00,2013-08-12,131.89
2025-01-04 22:41:12.309779+00:00,2013-08-20,139.89
2025-01-04 22:43:32.549750+00:00,2015-09-25,139.89
2025-01-04 22:47:46.459880+00:00,2018-09-27,139.89
2025-01-04 22:44:18.474795+00:00,2016-08-17,163.89
2025-01-04 22:48:23.055423+00:00,2019-06-17,163.89
2025-01-04 22:48:37.015737+00:00,2019-09-26,195.89
2025-01-04 22:49:19.839042+00:00,2020-07-30,235.89
