data_generacji,kryptowaluta_data,kryptowaluta_cena,kryptowaluta_waluta,kryptowaluta_nazwa,kryptowaluta_kod
2023-10-19 10:02:20+00:00,2023-10-19,960.89,PLN,BITCOIN CASH,bch
2024-12-02 10:01:37+00:00,2024-12-02,2080.15,PLN,BITCOIN CASH,bch
2024-09-25 10:00:04+00:00,2024-09-25,1328.54,PLN,BITCOIN CASH,bch
2024-03-29 10:00:19+00:00,2024-03-29,2314.48,PLN,BITCOIN CASH,bch
2024-04-22 10:01:23+00:00,2024-04-22,2070.69,PLN,BITCOIN CASH,bch
2023-12-25 10:04:10+00:00,2023-12-25,918.49,PLN,BITCOIN CASH,bch
2023-12-06 10:00:02+00:00,2023-12-06,996.91,PLN,BITCOIN CASH,bch
2024-12-31 10:01:31+00:00,2024-12-31,1818.18,PLN,BITCOIN CASH,bch
2024-02-27 10:00:02+00:00,2024-02-27,1178.56,PLN,BITCOIN CASH,bch
2024-02-21 10:00:02+00:00,2024-02-21,1055.34,PLN,BITCOIN CASH,bch
2024-01-08 10:00:02+00:00,2024-01-08,940.38,PLN,BITCOIN CASH,bch
2024-03-18 10:00:03+00:00,2024-03-18,1595.88,PLN,BITCOIN CASH,bch
2025-01-03 10:01:29+00:00,2025-01-03,1902.01,PLN,BITCOIN CASH,bch
2024-12-17 10:01:40+00:00,2024-12-17,2185.87,PLN,BITCOIN CASH,bch
2024-04-27 10:00:03+00:00,2024-04-27,1900.57,PLN,BITCOIN CASH,bch
2024-02-18 10:00:03+00:00,2024-02-18,1081.45,PLN,BITCOIN CASH,bch
2024-01-26 10:05:03+00:00,2024-01-26,950.08,PLN,BITCOIN CASH,bch
2024-08-07 10:00:05+00:00,2024-08-07,1272.8,PLN,BITCOIN CASH,bch
2024-07-17 10:00:05+00:00,2024-07-17,1515.76,PLN,BITCOIN CASH,bch
2024-05-14 10:00:05+00:00,2024-05-14,1730.38,PLN,BITCOIN CASH,bch
2024-08-31 10:00:38+00:00,2024-08-31,1261.08,PLN,BITCOIN CASH,bch
2024-07-18 10:00:05+00:00,2024-07-18,1491.86,PLN,BITCOIN CASH,bch
2024-06-04 10:01:31+00:00,2024-06-04,1841.22,PLN,BITCOIN CASH,bch
2024-01-31 10:05:09+00:00,2024-01-31,948.56,PLN,BITCOIN CASH,bch
2024-01-01 10:00:02+00:00,2024-01-01,1043.79,PLN,BITCOIN CASH,bch
2024-05-06 10:00:03+00:00,2024-05-06,1911.11,PLN,BITCOIN CASH,bch
2024-01-24 10:02:12+00:00,2024-01-24,950.66,PLN,BITCOIN CASH,bch
