data_generacji,mieszkania_cena_rok,mieszkania_cena_wojewodztwo,mieszkania_cena_metr_kwadratowy,mieszkania_cena_waluta
2025-01-21 22:47:43.542976+00:00,2015,LUBELSKIE,3975.0,PLN
2025-01-21 22:47:43.542976+00:00,2015,PODKARPACKIE,3661.0,PLN
2025-01-21 22:47:43.542976+00:00,2015,PODLASKIE,3920.0,PLN
2025-01-21 22:47:43.542976+00:00,2015,MAZOWIECKIE,6654.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,MAŁOPOLSKIE,5787.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,ŚLĄSKIE,2778.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,LUBUSKIE,2728.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,WIELKOPOLSKIE,4256.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,ZACHODNIOPOMORSKIE,3710.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,DOLNOŚLĄSKIE,4268.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,OPOLSKIE,2741.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,KUJAWSKO-POMORSKIE,3321.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,POMORSKIE,5055.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,WARMIŃSKO-MAZURSKIE,3111.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,ŁÓDZKIE,3486.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,ŚWIĘTOKRZYSKIE,3472.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,LUBELSKIE,4179.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,PODKARPACKIE,3323.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,PODLASKIE,3968.0,PLN
2025-01-21 22:47:47.735317+00:00,2016,MAZOWIECKIE,6721.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,MAŁOPOLSKIE,5799.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,ŚLĄSKIE,2937.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,LUBUSKIE,2805.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,WIELKOPOLSKIE,4346.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,ZACHODNIOPOMORSKIE,3851.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,DOLNOŚLĄSKIE,4258.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,OPOLSKIE,2814.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,KUJAWSKO-POMORSKIE,3572.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,POMORSKIE,5521.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,WARMIŃSKO-MAZURSKIE,3327.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,ŁÓDZKIE,3674.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,ŚWIĘTOKRZYSKIE,3479.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,LUBELSKIE,4241.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,PODKARPACKIE,3460.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,PODLASKIE,4069.0,PLN
2025-01-21 22:47:51.947410+00:00,2017,MAZOWIECKIE,6864.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,MAŁOPOLSKIE,6000.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,ŚLĄSKIE,3096.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,LUBUSKIE,3141.0,PLN
